asset_id,asset_type,engine_temperature,vibration_level,operating_hours,component_age,hours_since_service,maintenance_age,fuel_consumption,service_count,last_service_date,failure_label
A-001,Communications Relay,72.89,1.812,8485.1,33.6,650.8,21.6,6.57,26,2026-08-14,1
A-002,Ground Vehicle,102.62,3.286,3786.9,39.8,269.7,14.1,44.95,20,2026-08-06,0
A-003,Rotary Wing,96.12,3.782,1992.7,23.3,341.4,2.0,46.26,13,2026-06-27,1
A-004,Communications Relay,65.22,1.765,5891.8,28.7,485.4,18.2,6.53,13,2026-08-01,1
A-005,UAV,105.78,2.805,1408.5,21.4,15.6,14.4,21.41,3,2026-09-09,0
A-006,Rotary Wing,113.2,4.673,1430.1,31.1,171.6,9.5,73.84,10,2026-07-05,1
A-007,Communications Relay,59.68,1.118,6291.1,19.3,919.2,6.8,5.06,35,2026-08-03,1
A-008,Communications Relay,53.62,0.05,4516.6,18.4,896.8,2.1,3.92,39,2026-07-25,1
A-009,UAV,73.49,1.805,1073.7,14.2,166.0,1.0,11.32,7,2026-08-08,0
A-010,Ground Vehicle,113.52,4.683,7114.8,62.2,351.6,47.3,56.85,26,2026-08-02,1
A-011,Ground Vehicle,98.65,3.324,4319.9,35.1,345.7,16.9,34.63,30,2026-08-03,0
A-012,Rotary Wing,103.66,3.196,1775.8,29.2,85.2,2.4,60.26,12,2026-08-15,0
A-013,Generator,82.73,1.5,6312.4,31.7,582.2,7.1,20.17,49,2026-08-08,0
A-014,Communications Relay,68.97,0.878,4206.2,18.4,436.5,4.8,5.75,17,2026-08-18,1
A-015,Ground Vehicle,88.24,2.456,2186.8,19.0,155.6,1.2,31.33,14,2026-08-09,1
A-016,UAV,101.69,3.012,1304.5,24.6,102.3,20.0,19.46,4,2026-08-07,0
A-017,Generator,108.9,3.415,12297.1,66.4,527.1,53.1,31.66,39,2026-07-29,0
A-018,UAV,81.82,2.316,981.3,17.2,150.2,5.8,14.22,4,2026-08-12,1
A-019,Communications Relay,64.44,0.83,5867.3,20.2,785.0,12.6,5.35,29,2026-07-30,1
A-020,Generator,97.34,1.654,8922.1,56.1,223.8,19.9,31.06,55,2026-08-17,1
A-021,Communications Relay,54.17,1.072,6215.2,24.5,542.2,15.5,5.07,35,2026-08-17,0
A-022,Ground Vehicle,98.91,3.953,3446.2,39.2,249.5,13.7,45.62,21,2026-07-16,1
A-023,Rotary Wing,105.21,3.109,861.7,21.1,45.4,9.4,64.7,5,2026-08-29,0
A-024,Rotary Wing,114.59,4.004,1525.6,29.2,104.3,14.8,74.29,8,2026-08-13,0
A-025,Communications Relay,53.01,0.083,8347.9,24.7,662.4,5.0,3.36,58,2026-08-20,1
A-026,UAV,84.08,2.552,666.9,11.4,115.7,4.7,12.78,3,2026-08-07,1
A-027,Ground Vehicle,89.98,3.085,4145.2,31.8,158.2,3.7,29.61,29,2026-08-26,1
A-028,UAV,76.5,1.368,724.5,11.2,87.8,2.4,9.61,6,2026-08-15,0
A-029,UAV,68.45,1.818,1022.9,16.0,258.1,1.0,10.05,8,2026-07-04,0
A-030,Communications Relay,53.0,1.037,8271.9,36.6,823.1,14.8,4.63,47,2026-07-31,0
A-031,Communications Relay,44.18,0.05,5686.2,21.2,663.0,1.3,3.21,36,2026-08-15,0
A-032,Rotary Wing,125.09,5.335,2593.3,50.9,162.7,34.8,88.73,9,2026-07-23,1
A-033,Ground Vehicle,109.97,3.608,3174.9,27.9,314.7,12.0,57.3,20,2026-07-27,0
A-034,Ground Vehicle,85.48,2.9,3414.3,32.2,429.1,5.9,28.57,19,2026-06-24,0
A-035,Ground Vehicle,103.96,3.637,2737.8,29.2,147.4,9.4,34.61,13,2026-08-22,1
A-036,UAV,76.23,1.1,775.9,10.1,114.2,3.2,11.89,6,2026-08-13,0
A-037,UAV,96.04,2.982,1760.5,25.8,234.6,17.0,15.24,5,2026-06-16,1
A-038,Ground Vehicle,94.38,3.68,4007.4,48.4,138.4,17.2,44.41,18,2026-08-15,0
A-039,UAV,101.16,2.788,1155.7,22.4,119.3,10.7,17.03,3,2026-07-31,0
A-040,Generator,87.58,1.249,6052.1,44.1,166.7,8.9,20.92,42,2026-08-19,1
A-041,Ground Vehicle,88.39,4.101,3204.6,49.0,254.0,15.8,40.34,17,2026-07-27,0
A-042,Communications Relay,53.93,1.667,7863.6,36.4,955.0,15.2,5.4,39,2026-07-12,1
A-043,Communications Relay,61.97,1.979,10656.5,30.4,355.6,23.3,6.71,28,2026-08-31,1
A-044,Ground Vehicle,98.27,3.722,5954.2,54.7,149.9,18.2,37.94,31,2026-08-17,0
A-045,Communications Relay,60.26,0.325,8741.5,25.8,562.6,10.4,5.8,45,2026-08-17,1
A-046,Communications Relay,46.4,0.05,5004.2,18.1,370.5,3.5,3.82,33,2026-08-23,0
A-047,Ground Vehicle,84.83,3.453,1970.8,23.4,221.1,7.6,27.74,14,2026-08-02,0
